Query	Correction
eyðilagð	eyðilagði
eyðilegginga	eyðileggingar
eyðileggjad	eyðileggja
eyðilegja	eyðileggja
eyðilegst	eyðileggst
eyðimerk	eyðimörk;eyðimerkur
eyðisk	eyðist
eyðja	eyða
eyðjaat	eyðast
eyðlegging	eyðilegging
eydnan	eyddan
eyðniða	eyðniði
eyðq	eyð;eyða
eyðrunar	eyðurnar
eyðslupúkin	eyðslupúkinn
eyðt	eyð
eyðuð	eyðu
eyđur	eyður
eyes	ees
eyeun	eyrun
eyfh	eyfi
eyfirzkra	eyfirskra
eygjló	eygló
eygjuna	eyjuna
eyglo	eygló
eyjafjaðrar	eyjafjarðar
eyjandi	deyjandi
eyjar&	eyjar
eyjara	eyjar
eyjarfjarðar	eyjafjarðar
eyjarinnae	eyjarinnar
eyjaskegg	eyjaskeggi
eyjaskeggyr	eyjaskeggi
eyjolfur	Eyjólfur
eyjq	eyju
eyjsa	eyja
eyjsaa	eyjanna
eyjverskur	eyverskur
eykti	reykti
eykun	eykur
eylíf	eilíf
eylífð	eilífð
eylífðin	eilífðin
eylífðina	eilífðina
eyls	eys
eylsir	eilsir
eymæð	eymið
eymas	eymars
eymslu	geymslu
eymti	eymi
eymuð	eimuð
eynalokka	eyrnalokka
eynalokkur	eyrnalokkur
eynarlokka	eyrnalokka
eynna	eynni
eyns	eins
eynskins	einskis
eypskur	egypskur
eyr	eyri;eir;er;aur
eýr	er;rýr
eyrikur	eyríkur
eyrnalrokkar	eyrnalokkar
eyrnarlokk	eyrnalokk
eyrnarlokka	eyrnalokka
eyrnarlokkarnir	eyrnalokkarnir
eyrnarlokki	eyrnalokki
eyrnarpinni	eyrnapinni
eyrnarsnepill	eyrnasnepill
eyrnarverkur	eyrnaverkur
eyrnuð	seyrnuð
eýronum	eyrunum
eyrq	eyra
eýrun	eyrun;Eyrún
eýrún	Eyrún
eysís	Eydís
eyskinn	feyskinn
eysteinm	Eysteinn
eystrasta	eystra
eystuð	leystuð
eystun	eistun
eysuni	peysunni
eyunni	eyjunni
eyunum	eyjunum;eyrunum
eyur	eykur
eyv7ndur	Eyvindur
eyvindu	Eyvindur
eyvinfur	Eyvindur
eyvitar	eyvistar
eyvòr	Eyvör;Eivör
eyxna	eyrna
eþanol	etanól
eþíopar	Eþíópar
eþíopísk	eþíópísk
eþíópiska	eþíópíska
eþíópska	eþíópíska
eþó	þó
eþrenna	þrenna
f-olk	fólk
f)prjóna	prjóna
f´ekk	flekk
f´otbolta	fótbolta
f´r	fór
f´ra	fara
f´stra	fóstra
f0önk	pönk;fönk
f0studagur	föstudagur
f0t	föt
f3k	fok
f8ngur	fingur;fengur
fa	fá;af
fà	fá
fa.ta	fata
faa	fara;fata;faga
fäa	fáa
faaðir	faðir
fáænar	fáeinar
fáauni	fáandi
fáb	fá
fabbrikuni	fabrikkunni
fabína	fabían
fábja	fáa
fábreytnislegu	fábreytilegu
fac	fas
fada	fasa
fader	faðir
fadi	fasi
faði	faðir
faðie	faðir
faðír	faðir
faðiramma	föðuramma
faðirr	faðir
faðjanna	faðmanna
faðjur	faðmur
fáðjur	fáður
faðmalag	faðmlag
faðman	faðma
faðmann	faðminn;faðma
faðmin	faðminn
fadór	Valdór
faðor	faðir
faðra	fara;feðra
faður	faðir;maður;föður
faðúr	faðir
fadurinn	faldurinn
fádurinn	fákurinn
fæa	fá
fæðð	færð
fæddann	fæddan
fæddast	fæddist
fæddis	fæddist
fæðður	færður
fæðgi	fæði
fæðingablettur	fæðingarblettur
fæðingafræði	fæðingarfræði
fæðingalæknir	fæðingarlæknir
fæðingaranar	fæðingarnar
fæðingarfdeild	fæðingardeild
fæðingingar	fæðingarinnar
fæðingunar	fæðinguna
fæðispenna	fæðispeninga
fæðni	færni
fæður	færður
fæeir	færir
fæelagsleg	félagsleg
fægji	fægi
fægrur	fægður
fáeignir	fáeinir
fæinar	fælnar
fáeinif	fáeinir
faeinir	fáeinir
fáeinis	fáeinir
fáeinm	fáeinum
fáeinn	fáein
fáeinu	fáeinum
fáeitt	fáein
fæji	færi
fækkurnar	fækkunar
fælra	færa
fæminna	væminna
fæminsta	féminnsta
fær7	fær
færajar	Færeyjar
færann	færan
færask	færast
færðispening	fæðispeninga
færey	Frey;Færeyjar
færeyjingi	Færeyingi
færeyuna	Færeyinga
færg	fær
færgum	færum
færgumm	færum
færlsa	færsla
færsluni	færslunni
færstla	færsla
fæs	dæs
fæstla	fæsta
fæstrau	fæstra
fæstrauð	fæstrar
fæt	fær
fætun	fætur
fæturr	fætur
fætutnir	fæturnir
fæyreskur	færeyskur
faf	af
fafa	afa;faga
fáfar	fáar
fáfara	fáfarna
fáfarar	fáfarnar
fáfengi	áfengi
fáfengið	áfengið
fafi	afi
fafs	gafst;afa
fagaðil	fagaðili
fágang	frágang
fágari	fágaðri
fagg	flagg;fag
faggir	flaggir
faggr	fagur
faggur	fagur
faginni	fanginni
fagllegur	faglegur;fallegur
fagmennskja	fagmennska
fagmensku	fagmennsku
fagnaðarerindinum	fagnaðarerindinu;fagnaðarerindunum
fagnaðarkend	fagnaðarkennd
fagnafundr	fagnafundur
fagnarlæti	fagnaðarlæti
fagnaü	fagna
fagnaüi	fagnaði
fagnq	fagn
fagnur	fagnar;fagnir
fagný	fagna;dagný
fagót	fágæt;fagott
fagr	fagur
fagrio	fagri
faguðum	fáguðum
fágúðum	fáguðum
fague	fagur
fagura	fagur;fagurra
fagurbðokmenntir	fagurbókmenntir
fagurfræðing	fagurfræði
fagurhólmsmýri	fagurhólsmýri
fagurinn	dagurinn
fagut	fagurt;fagur
fagyr	fagur
faha	fara;faga
fahur	fagur
faír	far
fáír	fáir
fairð	farið
fajll	fall
fakan	vakan
fakdurin	faldurinn
fakk	gakk
fakt	vakt
falán	lán
falangist	angist
fálanni	fálunni
falaska	Alaska
falðar	faldar
falði	faldi
faldurin	faldurinn
faldyr	faldur
faleg	falleg
falfur	falur
fáliða	fáliðað
fálinna	falinna
fálitur	fáleitur
fálkanns	fálkans
fálkaorð	fálkaorðu
falkegur	fallegur
fálkur	fálkar
fallað	fjallað
fallaðu	fjallaðu
fallandið	fallandi
fallar	fjallar
fallbeigja	fallbeygja
fallbeiing	fallbeyging
fallbeing	fallbeyg;fallbeyging
fallbeining	fallbeyging
fallbeiningar	fallbeygingar
fallbeyginar	fallbeygingar
fallbeyginbg	fallbeyging
fallbeying	fallbeyging
fallbeyj	fallbeyg
fallbeyjing	fallbeyging
fallbeyjum	fallbeygjum
fallbying	fallbeyging
fallbysunar	fallbyssurnar
fallbysur	fallbyssur
falldi	faldi
falle	falleg
falleg7r	fallegur
fallegara	fallegra
fallegirfallegarfalleg	fallegir;fallegar;falleg
fallegtfallegt	fallegt
falleguer	fallegur
fallegut	fallegur
fallelegt	fallegt
fallengt	fallegt
fallengur	fallegur
falleur	fallegur
fallg	falleg
fallgur	fallegur
falllegr	fallegri;fallegur
fallon	fallin
fallrg	falleg
fallstjor	fallstjórn
fallstjorn	fallstjórn
falltirn	fallinn;fallturn
fallu	falli
falm	fálma
fálmana	fálmara
falmandi	fálmandi
falms	fálma
falrgur	fallegur
fálskir	falskir
falstans	fastans
falsur	faldur
falti	falli;valti
faltkaka	flatkaka
faluta	flauta
famb	lamb
fámeni	fámenni
famið	framið
famistaða	frammistaða
famm	fimm
fammu	fimmu
famsl	framsal
famso	farms
fámso	fáms
fan	fann
fán	fáni
fánd	fund
fandi	fjandi
fandinn	fjandinn
fáneinar	fáeinar
faneny	Fanney
fangav-rður	fangavörður
fánge	fanga
fangealsi	fangelsi
fángelsi	fangelsi
fangelsisvörður	fangavörður
fangelsivistar	fangelsisvistar
fánginn	fanginn
fanginum	fanginu
fanglesi	fangelsi
fanglína	fangalína
fangmarkið	fangamarkið
fangsela	fangselja
fani	fáni
fáńi	fái
fankynfja	vankynja;fannkyngja
fankyngja	fannkyngja
fánleiki	fáanleiki
fanls	fans
fannafod	fannafold
fannan	annan;fanna
fannana	fannanna
fannast	fannst
fanni	fann;danni;Danni
fannry	Fanney
fannt	fannst
fánoi	fáni
fansl	fans
fanst	fannst
fantjr	fantur
fánuar	fánar
fánýtti	fánýti
fanþór	Svanþór
faöir	faðir
fäotur	fontur
fáp	fá
fara¨	fara
farabrodd	fararbrodd
farabrot	fjaðrabrot
farabúa	farbúna
fáraði	fáráði
fáraðu	fáráðu
faragur	farangur
faraladur	faraldur
faraldu	faraldur
faraldyr	faraldur
faraljótir	forljótir
faramanna	varamanna
farand-	farandi
farands	farlands
farandssögur	farandsögur
fáranleiki	fáránleiki
farannar	fararinnar
faraói	faraóa;faraó
farari	fari;fara
fararskjót	fararskjóti
faraskipta	fataskipta
faraskjóti	fararskjóti
farasnið	fararsnið
faratæki	farartæki
faratál	farartálmi
faratala	fara;tala
faratálm	farartálmi
faratálma	farartálma
farateski	farteski
farboða	farborða
farboði	farborði
farðega	farþega
farðegi	farþegi
farðeginn	farþeginn
farðtaska	ferðataska
farðun	förðun
farðþeginn	farþeginn
fare	fara;far
farfáa	farfána
farfbaugur	hvarfbaugur
farfundur	fjarfundur
fargara	fargar
fargari	fargar
fargist	farist
fargistu	fergistu
farina	farin;farinna
faring	farin
farisei	farísei
farlátum	forlátum
farlömu	farlama
farlömuð	farlama
farmáti	fararmáti
farmíða	farmiða
farnur	farnir
farói	fari;faraó
faröldum	faröldrum
farönd	farlönd;farand
farsældir	farsældar
farsælður	farsælum;farsæll
farsælr	farsæll
farsima	farsíma
farsíma	farsíma
farsímann	farsímann
farsími	farsími
fárski	ferski
farst	farast
farstan	fastan
farstans	fastans
farsúmarbústað	sumarbústað
fartalva	fartölva
fartegi	farþegi
farti	fari
fartöflur	kartöflur
fártöl	fjártöl
fartöla	fartölva
fartölann	fartölvan
farvald	faraldur
farvaldur	faraldur
farvera	forvera
farþegan	farþegann
farþegari	farþegar
farþegiáð	farþegi
farþegu	farþegum;farþegi
fasað	dasað
fasaður	fastur
fasat	fast
fasir	fastir
fasíslur	fasískur
faska	flaska
fásku	fástu
fasrur	fastur
fasst	fast
fastaeignamat	fasteignamat
fástan	fastan
fastlaun	fastalaun
fástr	fást
fastreiðnir	fastareiðarnir
fastu	fasti
fasturinn	fastinn
fastus	fastur
fásty	fást
fatabúd	fatabúð
fátækrarlög	fátækralög
fátæl	fátæk
fatahruga	fatahrúga
fatangur	farangur
fataskáð	fataskáp
fataskap	fataskáp
fatasla	fataslá
fátbrotnum	fábrotnum
father	fastaher
fatinnu	fatinu
fatladur	fatlaður
fátǿkra	fátækra
fátöldum	frátöldum
fattinn	fatti;farinn
fattinu	fatinu
fattning	kattning
fátts	fás;fátt
fattta	fatta
fáttuð	fánuð
fauanna	fautanna
faug	fauk
fauknir	auknir
fauku	fauk
fauli	auli
faull	fall
fault	falt
faulur	falur
faumi	flaumi
faumin	frumin;flauminn
fauminn	flauminn
fauni	funi;fáni
fauní	funi;fáni
faurar	gaurar;aurar
fausinni	fausinn
faustans	fautans
fautini	fautinn
fautinni	fautinn;lautinni
fauts	flauts
fáv	fá
favi	fagi
fávi	fái
fávið	fáið
fávísku	fávisku
faxaðann	faxaðan
faxalar	faxaðar
faxara	faxar
faxis	faxi
faxu	fax
fbi	fái
fbúa	búa
fðikja	frikja
fdögg	dögg
fðtboltinn	fótboltinn
fðttin	vöttin
fe	fé
fè	fé
féa	fés;fé
féæ	fé
feæix	felix
feala	fela
féb	fé
február	febrúar
fèð	féð
feðg	feðga
feðgi	fegðin
feðgim	feðgum
feðgir	feðgar
feðgun	feðgum
feðgur	feður
feðgurð	fegurð
feðist	ferðist
feðjur	feður
féðjur	ferjur
féðmt	fermt
feeð	ferð
feeðalög	ferðalög
feékk	fékk
feel	fel
feerð	ferð
feǵ	fer;fé
fegð	feigð
fegðurð	fegurð
fegðurðina	fegurðina
fegg	vegg
feginleikin	feginleikinn
fegn	regn
fegr	fer
fegrð	ferð;fegurð
fegriðin	vegriðin
fegurast	fegurst
fegurasti	fegursti
fegurastur	fegurstur
fegurði	fegurðin;fegurð
fegurro	fegurri
fegust	fengust;fegurst
fehagnaður	fagnaður;hagnaður
feidías	Eidís
feiðsamur	friðsamur
feigann	feigan
feigði	eigðu
feigðu	eigðu
feiginleika	eiginleika
feiknann	feiknar
feiks	feykis
feiktur	feitur;feyktur
feilist	felist
feilla	fella;feila
feillar	feilar
feillast	heillast
feimini	feiminni
feimn	feimin
feimnis	feimni
feimnur	feimnir
feimuðs	feimaðs
fein	ein
feingið	fengið
feingu	fengu
feiningar	einingar
feinn	einn
feirð	ferð
feirir	feitir
feis	feigs
feisinu	fisinu
feiskur	fiskur
feisurnar	veisurnar;kveisurnar
feitans	feitan
feitr	feitur
feituð	feitur;fituð
feix	felix
feka	fleka;freka
feki	feyki;fleki;freki
féki	fékk
fekk	fékk
fekkk	flekk
fékkr	fékk
fekkst	fékkst
fekku	flekku;fengu
fékkur	fékk
feknum	freknum;fegnum
fékstu	fékkstu
fél	féll
felaa	fela
felag	félag
félagaformi	félagsformi
félagarnur	félagarnir
felagi	félagi
felaginu	félaginu
felaginy	félaginu
félagkapur	félagsskapur
félagsamþykktir	félagssamþykktir
félagsfræđibraut	félagsfræðibraut
félagsgerðra	félagsgerða
félagsin	félagsins
félagskap	félagsskap
félagskapr	félagsskapur
félagskapur	félagsskapur
felagskapurinn	félagsskapurinn
félagslyndin	félagslyndi
félagslyndinn	félagslyndið
félagssbústaðir	félagsbústaðir
félagsskapin	félagsskapinn
félagsskápurinn	félagsskapurinn
félasmiðsstöð	félagsmiðstöð
feldaðu	eldaðu
feldan	felldan
feldsins	eldsins;feldarins
felex	Felix
felg	felga
felgja	felga
felgs	felga
felgslum	felgum
felguró	felgur
feliks	felix
félindi	vélindi
feliri	fleiri
felirri	fleiri
felíx	felix
feliz	feli
feljast	teljast
felkominn	velkominn
fellaa	fella
fellaq	fella
fellar	fella
fellast	felast
fellbylur	fellibylur
felleg	falleg
fellegir	fallegir
fellibhlur	fellibylur
fellibilir	fellibyljir
fellibylatíma	fellibyljatíma
fellibylatímabil	fellibyljatímabil
fellibylatímabilið	fellibyljatímabilið
fellibyljat	fellibylja
fellina	vellina
fellipseyjum	filippseyjum
fellista	fallista
felljast	felldast;felast;dveljast
fellsmala	fellsmúla
fellybylur	fellibylur
féló	fló
félör	félög
fels	felst
felstir	flestir
felt	fellt
feltrun	felmtruð
feltta	fletta
fem	sem
femaði	hemaði
femðt	fermt
femenísk	femínísk
femi	feni
femið	feimið
femiða	farmiða;miða;fenið
femíniami	femínismi
femínis	femínsk;femínisti;femínísk
femínís	femínísk
feminisk	feimins;femínísk
femínisk	feminísk
femíniskt	femínskt;femínískt
feminisma	femínisma
feminismál	feimnismál
feminismi	femínismi
feminísmi	femínismi
femínist	femínisti;femínískt
feminista	femínista
feministi	femínisti
feminsta	femínista;féminnsta
féminsta	féminnsta;femínista
femm	fimm
femma	fema
femme	fema
femmu	femu
femnismál	feimnismál
femur	kemur;lemur
fémur	fimur
fén	féð
fena	fenna
fend	fernd
fenð	ferð
fendá	enda
fendi	endi
fengðu	fengu
fengiđ	fengið
fengiði	fengið
fenginnn	fenginn
fengji	fengi
fenneæ	fennel;fenni;fennir
fenngið	fengið
fenr	fer;fen
fensu	flensu
fenti	fengi
fentið	fengið
feöir	felir;ferðir;feður
fép	fé
fépa	fipa
fepð	ferð
fér	fer
ferd	ferð
ferđ	ferð
ferda	ferða
ferðaæag	ferðalag
ferðaði	ferðaðist
ferðafærður	ferðafærð
ferðafelag	ferðafélag
ferðaheildsalir	ferðaheildsali
ferðala	ferðalag
ferdalag	ferðalag
ferðalag.	ferðalag
ferðalangra	ferðalanga
ferdalast	ferðalest
ferdalg	ferðalag
ferðalg	ferðalag
ferðalognum	ferðalöngum;ferðalögum
ferðalögnum	ferðalögum;ferðalöngum
ferðamadur	ferðamaður
ferðamadurinn	ferðamaðurinn
ferđamálafeæđi	ferðamálafræði
ferðaman	ferðamann
ferđamannastađina	ferðamannastaðina
ferðamannirnir	ferðamennirnir
ferðamapur	ferðamaður
ferðamen	ferðamenn
ferðamennunum	ferðamönnunum
ferðasatka	ferðasaga
ferðaskifstofa	ferðaskrifstofa
ferðaskjalin	ferðasjalinu;ferðaskjölin
ferðaskrifastofa	ferðaskrifstofa
ferðaskrifsstofa	ferðaskrifstofa
ferđaskristofa	ferðaskrifstofa
ferðaslög	ferðalög
ferdast	ferðast
ferðataks	ferðatasks;fyrirtaks
ferðatöska	ferðatösku;ferðataska
ferðatöskunu	ferðatöskunum
ferðaþjón­ust­an	ferðaþjónustan
ferdða	ferða
ferðdast	ferðast
ferðdat	ferðast
ferðelag	ferðalag
ferðga	ferða;feðga
ferði	verði;ferðin
ferðið	ferðir
ferðinar	ferðirnar
ferðinna	ferðina
ferðinq	ferðin;ferðina
ferðis	ferðist;ferðir
ferdkan	ferskan
ferdli	ferli
ferðnar	ferðar
ferðöm	ferðum
ferdskan	ferskan
ferðslag	ferðalag
ferðú	ferðu
fereistaður	freistaður
ferflötungur	fergt;fergða
fergta	fergt;fergða
ferh	fer
ferhirnt	ferhyrnd;ferhyrnt
ferhryngur	feræringur;ferhyrningur
ferhyndur	ferhyrndur
ferhyr	freyr;ferhyrnd
ferhyringur	ferhyrningur
ferhyrn	ferhyrnd
ferhyrnntur	ferhyrningur;ferhyrndur
ferhyrntra	ferhyrndra
feria	ferja
feríki	ferlíki
ferilin	ferilinn
feríll	ferill
ferilsk	ferils;ferilskrá
ferilsk´ra	ferilskrá
feril­skrá	ferilskrá
férilskrá	ferilskrá
ferilskrán	ferilskráin
ferilsskrá	ferilskrá
ferir	fenrir
ferislkrá	ferilskrá
ferkanataður	ferkantaður
ferkðum	ferðum
ferksa	ferska
ferl	fer;ferli
ferldur	feldur
ferlir	ferli
ferliskrá	ferilskrá
fermð	fermd
ferme	ferma
fermingadagur	fermingardagur
ferm­ing­ar­	fermingar
fernað	ferna
fernhryngur	ferningur
fernhyngur	ferningur
fernn	fern
fernni	fenni
fernnri	fernri
fernnt	fernt
fernnur	fernur
fernts	fernt
ferö	fer
ferő	fer
feróla	ferla
ferp	fer;ferð
ferpferð	verferð;ferð
ferr	fer
ferrilskrá	ferilskrá
ferrna	ferna
ferrni	ferni
fersetning	forsetning
fersjkur	ferskur;ferskjur
ferskut	ferskt;ferskur
ferskyjur	ferskjur
fertalag	ferðalag
fertli	ferli
fertlið	ferlið
fertna	ferna
fertugasi	fertugasti
ferü	fer
fésað	fésið
feseif	fasreif
feskur	ferskur
fesri	festi
fessi	festi
festað	frestað
festafestu	festa;festu
festingur	festingar
festning	festing
festst	festist
festun	festu;festunni
festunnu	festunni
fesy	fest
fét	fet
fétan	fitan
fetani	fetaði;fentanýl
fetanil	fetarnir;fentanýl
fetðatékki	ferðatékki
fetist	festist
fetjið	fitjið;letjið
fetlaða	fatlaða
fetleitraður	feitletraður
fetleitruð	feitletruð
fetleitruðu	feitletruðu
fettaði	fetaði
fetu	feti
fetur	fet
fetus	fets
fevana	févana
fextaðra	fextara;textaðra
fexum	flexum
feygill	flygill
feygur	feigur
féyi	feyi
feyilegur	feykilegur;feikilegur
feykk	fékk
feyngu	fengu
feynni	eynni;fenni
féþ	fé
ffá	fá
ffag	fag
ffamundan	framundan
ffgh	fh
ffinna	finna;Finna
ffiskur	fiskur
ffjáls	frjáls
fflækja	flækja
fflf	fiff
fflytja	flytja
ffytja	flytja
fgengur	gengur
fgeta	geta
fialði	falið
fiárhúsunum	fjárhúsunum
fíbll	fíll;fífl
fíbra	víbra
fið	við
fiðaðan	fiðraðan
fiðdni	fildni
fiði	riði;liði
fidías	Fides
fidjieyjar	Fídjieyjar;Fídjíeyjar
fidjíeyska	fídjeyska
fiðkuleikari	fiðluleikari
fidkur	fiskur
fidla	fiðla
fiðnaða	fiðraða
fídnin	fíknin
fiðnu	riðnu;liðnu
fiðr	fiðri;fiður
fiðsaðan	fiðraðan
fíðusum	víðustum
fifa	fífa;rifa
fífaðu	fífaður
fifjuð	rifjuð
fíflanar	fíflana
fíflari	fíflar
fîflast	fíflast
fífldirfsk	fífldirfsku
fífldirfskur	fífldirfsku
fífldyrfskur	fífldirfsku
fíflingur	fílingur
figur	fígúra
figura	fígúra
fígura	fígúra
figurbjörgin	fingurbjörgin
figurna	fingurna
fiim	fimm
fiimm	fimm
fiina	fina;finna
fiinna	finna
fiinst	finnst
fíkiefni	fíkniefni
fikjum	fíkjum
fíkni¬efnaneyslu	fíkniefnaneyslu
fiksur	fiskur
fil	fíl
filadelfía	Fíladelfía
filadelphia	Fíladelfía
fílagu	fílaðu
filanum	filunum;fílnum
fílapensíll	fílapensill
filða	fila;fiðla
fileiki	fimleiki
fílelfdur	fílefldur
files	fles
filesd	flest
fileypskur	filippseyskur
filgd	fylgd
filgda	fylgda
filgdar	fylgdar
filgir	fylgir
filgyst	fylgist
filieyskur	filippseyskur
fílip	Filip
filipanskur	filippseyskur
filipeyskar	filippseyskar
filipeysku	filippseysku
filipeyskur	filippseyskur
filipínskur	filippseyskur
filipískur	filippseyskur
filipp	Filip;Filippus
filippeysk	filippseysk
filippeyskt	filippseyskt
filippeyskur	filippseyskur
filippíi	Filippíu
filippin	flippinu
filippíni	Filippíu
filippinseyjum	Filippseyjum
filippinska	filippseyska
filippínska	filippseyska
filippinskan	filippseyskan
filippinskum	filippseyskum
filippipseyjum	filippseyjum
filippiska	filippseyska
filippískur	filippseyskur
filippius	Filippus
fílippseyjum	filippseyjum
filippseyk	filippseysk
filippseyka	filippseyja
filippseyksa	filippseyska
filippseykur	filippseyskur
filippseyngar	Filippseyingar
filippseyu	Filippseyjum
filipsey	Filippseyjar
filipseyjingar	Filippseyingar
filipseyngur	Filippseyingur
filipska	Filips
filipus	Filippus
filjast	fyljast
fílkar	fílar
fill	fíll;vill
fillepseyski	filippseyski
fílling	fíling;fylling
fíllip	Filip
fillipeyskur	filippseyskur
fillippeyskur	filippseyskur
fillippseyjum	filippseyjum
fillippseyskur	filippseyskur
fillipseyar	Filippseyjar
fillipseyingar	Filippseyingar
fillipseyingur	Filippseyingur
fillipseyjar	Filippseyjar
fílll	fíll
filmand	filman
films	filma
fílmur	filmur
filningur	vinningur
filsnu	fildnu;fylgsni
filsnuð	visnuð
filtanna	piltanna
filtar	piltar
filterað	fallerað
filtg	filt
fílupúki	fýlupúki
fimarinn	eimarinn
fimbul	fimur
fimgur	fingur
fimgurra	fingurna
fimis	fimi
fimleikat	fimleika;fimleikar
fimmaur	fimmur
fimmmeningar	fimmmenningar
fimmmti	fimmti
fimmtadagur	fimmtudagur
fimmtan	fimmtán
fimmtàn	fimmtán
fimmtánti	fimmtándi
fimmtáun	fimmtán
fimmtudagin	fimmtudaginn
fimmtudagur$	fimmtudagur
fimmtudogum	fimmtudögum
fimmtudugum	fimmtudögum
fimmtudúgum	fimmtudögum
fimmtugödum	fimmtugföldum;fimmtudögum
fimmvörðuháls.	fimmvörðuháls
fimo	fimi
fimrinum	fingrinum
fimti	fimmti
fimtudaginn	fimmtudaginn
fimtudagur	fimmtudagur
fimtudagyr	fimmtudagur
fimtugadur	fimmtudagur
fimurinn	limurinn
fin	fín;finn
fín·pússa	fínpússa
fín]	fín
finale	vinaleg
fínann	fínan
finanndi	finnandi
finar	fínar
finarnar	firnarnar
finbogason	Finnbogason
finddinn	fyndinn
finden	fyndin
findið	fyndið
finðið	finnið;fyndið
finding	vinding
findinn	fyndinn
findist	fundist;fyndist
findland	Finnland
fíndland	Vindland;Indland;Finnland
findnar	fyndnar
findni	fyndni
findur	fundur
fine	fina
finest	finnst
finfinn	finn
finfónía	sinfónía
fingafar	fingrafar
fingar	fingur
fingarfar	fingrafar
finge	fingur
fingerða	fíngerða
fingerður	fíngerður
fingja	fingra;dyngja
fingr	fingur
fingrari	fingri;fingrafari
fings	fingurs
fingu	fingur;fengu
fingurra	fingurna
finhönd	yfirhönd
fini	finni;Finni
finland	Finnland
finlands	Finnlands
finlannd	Finnland
finmst	finnst
finnafinnst	finna;Finna;finnst
finnalnd	Finnland
finnar	Finnar
finnarnar	Finnarnir;kinnarnar
finnas	finnast
finnask	finnast
finnasta	finnast;fínasta
finnbogasson	Finnbogason
finnbógasson	Finnbogason
fínnbogasson	Finnbogason
finnd	fyrnd;finn
finnfint	Finninn;fínt;fínn
finngáln	finngálkn
fínngjöf	inngjöf
finnif	finni;Finni
finningur	vinningur;finni;Finni
finnlan	Finnland
finnlendka	innlenda;finnska
finnlns	Finnans;Finnlands
finnnist	finnist
finns	finna;Finna;finnst
fínnst	finnst;fínast
finnsta	finnst;fínasta
fínnur	finnur;Finnur
finsdist	fyndist
finska	finnska
finskur	finnskur
finst	finnst
fint	fínt
fintast	finnast
fintfinn	finninn;Finninn
fintið	finnið;fyndið
fintt	finn;fínt
fínur	fínir;fínn;línur
fiol	fitl
fiölði	fölri;fjöldi
fiölkunnigr	fjölkunnugur
fiölkunnigur	fjölkunnugur
fion	finn
fíon	fín
fíona	fína
fiörð	fjörð
fiörður	fjörður
fiórir	fjórir
fipaður	fipraður;flipaður
fipandi	fiplandi;flipandi
fípra	vípra
fipuð	flipuð
fipvast	fipast
fir	yfir;fit
firar	fitar
firðiir	firðir
firðildi	fiðrildi
firðindi	firnindi
firðist	virðist
firðstaða	birgðastaða
firðyndi	firnindi
fireldri	foreldri
firi	fiti
firkur	virkur
fírliði	fíliði
firmkanu	firmanu
firnafn	fornafn
firnastefkur	firnasterkur
firnbjörn	Finnbjörn
firnðindi	firnindi
firninum	firðinum
firragær	fyrradag
firramálið	fyrramálið
firrar	pirrar;firra;firrir
firskt	ferskt
first	fyrst
firsta	fyrsta
fiscur	fiskur
físilegt	fýsilegt
físís	físis
fisískt	fasískt
fisjur	fiskur
físk	fisk
fìsk	fisk
fiskai	fiski;fiska
fiskali	fisksali
fiskamaður	fiskimaður
fiskamenn	fiskimenn
fískar	fiskar
fiskbit	fiskbita
fiskbörum	fiskibörum
fiskbuðin	fiskbúðin
fiskfas	fiskfars
fiskiflak	fiskflak
fiskiflétta	fiskifrétta
fiskihaus	fiskhaus
fiskimatsmaður	fiskmatsmaður
fiskimi	fiskimið
fiskisloð	fiskislóð
fiskja	fiska
fiskker	fiskiker
fiskkur	fiskur
fiskrett	fiskrétt
fiskshaus	fiskhaus
fisksúða	fisksnúða
fisku	fiskur
fiskue	fiskur
fiskugur	fiskvegur
fiskujr	fiskur
fiskúr	fiskur
fiskurbátar	fiskibátar
físsni	físandi
fistaðu	vistaðu
fistu	fyrstu
fisuð	fisið
físumum	físunum
fítaðu	fitaðu
fitana	fituna
fitann	fitan
fitanna	fitan
fitans	fitan
fitanu	fitan
fitbolti	fótbolti
fitlaðan	fatlaðan;fitlað
fitlari	fitlar
fitlis	fitli
fitlu	fitlum
fitlun	fitlum
fitlur	filur
fitnaður	fatnaður;fitnaði
fítnin	fíknin
fits	fit
fittan	fitan
fittini	fitinni
fittinn	hittinn
fittinni	fitinni
fittinnu	fitinni
fittinu	filtinu
fittirðu	fettirðu
fittuð	fituð
fittun	fitun
fítuga	fituga
fítukertill	fitukirtill
fitusprengja	fitusprengt
fiuga	fluga
fixu	fixi
fixur	fixuð
fj-ðrin	fjöðrin
fj-ödi	fjöldi
fj<lskyda	fjölskylda
fj0gurra	fjögurra
fj0lskylda	fjölskylda
fja´r	fjör
fjaálfar	fjalar
fjaðrarrinnar	fjaðrarinnar
fjæri	færi
fjærlægja	fjarlægja
fjærlaga	fjárlaga
fjærri	færri
fjærstaddur	fjarstaddur
fjæru	færu
fjakk	flakk
fjalaða	fjallaða
fjalaðir	fjallaðir
fjalae	fjalar
fjalara	fjalar
fjalarnir	fjalirnar
fjaldi	fjöldi
fjallaðarr	fjallaðar
fjalladyrð	fjalladýrð
fjallagöngr	fjallgöngur
